has_phone_number,name,dbz_id,logo,service_areas,agents_count,id,slug,has_email,objectID
False,"{'en': 'Al Rayan Real Estate', 'ar': 'الريان للعقارات'}",3973,https://dbz-images.dubizzle.com/profiles/property_agency/AL_rayan.jpeg?impolicy=agency,"[{'ar': 'العامرة', 'en': 'Al Amerah'}, {'ar': 'الرميلة', 'en': 'Al Rumaila'}, {'ar': 'كورنيش عجمان', 'en': 'Corniche Ajman'}, {'ar': 'النعيمية', 'en': 'Al Nuaimiya'}, {'ar': 'آل هيليو', 'en': 'Al Helio'}, {'ar': 'مشيرف', 'en': 'Musherief'}, {'ar': 'آل موا هات', 'en': 'Al Mowaihat'}, {'ar': 'عجمان وسط المدينة', 'en': 'Ajman Downtown'}, {'ar': 'التلة 2', 'en': 'Al Tallah 2'}, {'ar': 'شارع الشيخ مكتوم بن راشد\u202c', 'en': 'Sheikh Maktoum Bin Rashid Street'}, {'ar': 'Al Jurf', 'en': 'Al Jurf'}, {'ar': 'العالية', 'en': 'Al Alia'}, {'ar': 'الحميدية', 'en': 'Al Hamidiyah'}, {'ar': 'الياسمين', 'en': 'Al Yasmeen'}, {'ar': 'الباهية', 'en': 'Al Bahia'}, {'ar': 'الروضة', 'en': 'Al Rawda'}, {'ar': 'الزاهية', 'en': 'Al Zahya'}, {'ar': 'الراشدية', 'en': 'Al Rashidiya'}, {'ar': 'البستان', 'en': 'Al Bustan'}]",8,ffd60f84-77bf-4eae-a7a3-5adabc8a0811,al-rayan-real-estate-llc-3973,True,ffd60f8477bf4eaea7a35adabc8a0811
False,"{'en': 'Kirin Nova Real Estate', 'ar': 'كيرن نوفا للعقارات'}",100988,https://dbz-images.dubizzle.com/profiles/property_agency/2025/10/30/3bae9941e06542849ef977e1bf9a4858-.jpg?impolicy=agency,"[{'ar': 'وسط مدينة دبي', 'en': 'Downtown Dubai'}, {'ar': 'مدينة دبي للإنتاج', 'en': 'Dubai Production City (IMPZ)'}, {'ar': 'ذا فيلا', 'en': 'The Villa'}, {'ar': 'نخلة جبل علي', 'en': 'Palm Jebel Ali'}, {'ar': '(أكويا من داماك) داماك هيلز 2', 'en': 'DAMAC Hills 2 (Akoya by DAMAC)'}, {'ar': 'بر دبي', 'en': 'Bur Dubai'}, {'ar': 'داماك هيلز', 'en': 'DAMAC Hills'}, {'ar': 'دبي هاربور\u202c', 'en': 'Dubai Harbour'}, {'ar': 'الخليج التجاري', 'en': 'Business Bay'}, {'ar': 'الميناء', 'en': 'Al Mina'}, {'ar': 'زعبيل', 'en': ""Za'abeel""}, {'ar': 'قرية الحمراء', 'en': 'Al Hamra Village'}, {'ar': 'شوبا هارتلاند', 'en': 'Sobha Hartland'}, {'ar': 'مجمع دبي للعلوم', 'en': 'Dubai Science Park'}, {'ar': 'جميرا', 'en': 'Jumeirah'}, {'ar': 'مدينة دبي الرياضية', 'en': 'Dubai Sports City'}, {'ar': 'نخلة جميرا', 'en': 'Palm Jumeirah'}, {'ar': 'ند الشبا', 'en': 'Nad Al Sheba'}, {'ar': 'داماك لاجونز', 'en': 'DAMAC Lagoons'}, {'ar': 'ميدان', 'en': 'Meydan'}, {'ar': 'مجمع دبي لاند ريزيدنس (DLRC)', 'en': 'Dubai Land Residence Complex (DLRC)'}, {'ar': 'قرية جميرا الدائرية', 'en': 'Jumeirah Village Circle (JVC)'}, {'ar': 'مجمع دبي للاستثمار', 'en': 'Dubai Investments Park (DIP)'}, {'ar': 'ذا فالي من اعمار', 'en': 'The Valley by Emaar'}, {'ar': 'جزر داماك', 'en': 'DAMAC Islands'}, {'ar': 'البراري', 'en': 'Al Barari'}, {'ar': 'مدن', 'en': 'Mudon'}, {'ar': 'حي دبي للتصميم (D3)', 'en': 'Dubai Design District (D3)'}, {'ar': 'القرية الثقافية (واجهة الجداف البحرية)', 'en': 'Culture Village (Jaddaf Waterfront)'}, {'ar': 'أبراج بحيرة الجميرا', 'en': 'Jumeirah Lake Towers (JLT)'}, {'ar': '(DSO)واحة دبي للسيليكون', 'en': 'Dubai Silicon Oasis (DSO)'}, {'ar': 'ذا وايلدز', 'en': 'The Wilds'}, {'ar': 'مدينة أجمل مكان - واجهة الشارقة البحرية', 'en': 'Ajmal Makan City - Sharjah Waterfront'}, {'ar': 'جنان من الدار', 'en': 'Haven by Aldar'}, {'ar': 'جميرا بيتش ريزيدنس', 'en': 'Jumeirah Beach Residence (JBR)'}, {'ar': 'العوير', 'en': 'Al Awir'}, {'ar': 'دبي مارينا', 'en': 'Dubai Marina'}, {'ar': 'الوصل', 'en': 'Al Wasl'}, {'ar': 'مرسى خور دبي', 'en': 'Dubai Creek Harbour'}, {'ar': 'فيلانوفا', 'en': 'Villanova'}, {'ar': 'دبي هيلز استيت', 'en': 'Dubai Hills Estate'}, {'ar': 'مجان', 'en': 'Majan'}, {'ar': 'موتور سيتي', 'en': 'Motor City'}, {'ar': 'العذبة', 'en': 'Al Athbah'}, {'ar': 'المرابع العربية 3', 'en': 'Arabian Ranches 3'}, {'ar': 'أرجان', 'en': 'Arjan'}, {'ar': 'ذا أويسيس من إعمار', 'en': 'The Oasis by Emaar'}, {'ar': 'أم سقیم', 'en': 'Umm Suqeim'}, {'ar': 'تلال مدينة', 'en': 'Tilal City'}, {'ar': 'جزر دبي', 'en': 'Dubai Islands'}, {'ar': 'مدينة محمد بن راشد (MBR City)', 'en': 'Mohammed Bin Rashid City (MBR City)'}, {'ar': 'داماك صن سيتي', 'en': 'DAMAC Sun City'}, {'ar': 'المدينة العالمية', 'en': 'International City'}, {'ar': 'مينا راشد', 'en': 'Mina Rashid'}, {'ar': 'غاف وودز', 'en': 'Ghaf Woods'}, {'ar': 'المدينة العالمية المرحلة 2 (ورسان 4)', 'en': 'International City Phase 2 (Warsan 4)'}, {'ar': 'الزوراء', 'en': 'Al Zorah'}, {'ar': 'مثلث قرية الجميرا (JVT)', 'en': 'Jumeirah Village Triangle (JVT)'}, {'ar': 'المرجان ايلاند', 'en': 'Al Marjan Island'}]",28,ffb6fd63-b3c5-412f-93f1-a8ee7b740d04,kirin-nova-real-estate-100988,True,ffb6fd63b3c5412f93f1a8ee7b740d04
False,"{'en': 'HeerMand Properties', 'ar': 'HeerMand Properties'}",102067,https://dbz-images.dubizzle.com/profiles/property_agency/2025/12/15/6e6d939b18bb48a1a4e9de000efd9acc-.jpg?impolicy=agency,"[{'ar': 'المرجان ايلاند', 'en': 'Al Marjan Island'}, {'ar': 'ميناء العرب', 'en': 'Mina Al Arab'}, {'ar': 'قرية الحمراء', 'en': 'Al Hamra Village'}]",7,ffb525ba-f169-4f5c-8c15-5ccc09a25fca,heermand-properties-102067,True,ffb525baf1694f5c8c155ccc09a25fca
False,"{'en': 'Almuhandis Real Estate', 'ar': 'المهندس للعقارات'}",4781,https://dbz-images.dubizzle.com/profiles/property_agency/2025/10/23/d9528b6d30f342d7834d8954557b795d-.jpg?impolicy=agency,"[{'ar': 'الراشدية', 'en': 'Al Rashidiya'}, {'ar': 'الياسمين', 'en': 'Al Yasmeen'}, {'ar': 'آل موا هات', 'en': 'Al Mowaihat'}, {'ar': 'الرقايب', 'en': 'Al Raqaib'}, {'ar': 'العامرة', 'en': 'Al Amerah'}, {'ar': 'النعيمية', 'en': 'Al Nuaimiya'}, {'ar': 'ليوارا 2', 'en': 'Liwara 2'}, {'ar': 'مشيرف', 'en': 'Musherief'}, {'ar': 'الحميدية', 'en': 'Al Hamidiyah'}, {'ar': 'الروضة', 'en': 'Al Rawda'}, {'ar': 'العالية', 'en': 'Al Alia'}, {'ar': 'عجمان وسط المدينة', 'en': 'Ajman Downtown'}, {'ar': 'الباهية', 'en': 'Al Bahia'}, {'ar': 'ليوارة 1', 'en': 'Liwara 1'}, {'ar': 'عجمان أبتاون', 'en': 'Ajman Uptown'}, {'ar': 'التلة 1', 'en': 'Al Tallah 1'}, {'ar': 'آل هيليو', 'en': 'Al Helio'}, {'ar': 'Al Jurf', 'en': 'Al Jurf'}, {'ar': 'الزاهية', 'en': 'Al Zahya'}]",0,ff873989-17f3-4926-83ee-605fa41c6fa8,almuhandis-realestate-4781,True,ff87398917f3492683ee605fa41c6fa8
True,"{'en': 'Leading Properties', 'ar': 'ليدنغ بروبرتيز'}",5180,https://dbz-images.dubizzle.com/profiles/property_agency/Leading_Properties_small_logo.jpg?impolicy=agency,"[{'ar': 'النهدة (دبي)', 'en': 'Al Nahda (Dubai)'}, {'ar': 'الصنعاء', 'en': 'Al Seanneeah'}, {'ar': 'الورقاء', 'en': 'Al Warqaa'}, {'ar': 'العوير', 'en': 'Al Awir'}, {'ar': 'مثلث قرية الجميرا (JVT)', 'en': 'Jumeirah Village Triangle (JVT)'}, {'ar': 'وسط مدينة دبي', 'en': 'Downtown Dubai'}, {'ar': 'مدينة محمد بن راشد (MBR City)', 'en': 'Mohammed Bin Rashid City (MBR City)'}, {'ar': 'الصجعة الشارقة', 'en': 'Al Sajaa'}, {'ar': 'جنان من الدار', 'en': 'Haven by Aldar'}, {'ar': 'مركز دبي المالي العالمي', 'en': 'DIFC'}, {'ar': 'دبي الجنوب', 'en': 'Dubai South'}, {'ar': 'ميدان', 'en': 'Meydan'}, {'ar': 'العامرة', 'en': 'Al Amerah'}, {'ar': 'الخليج التجاري', 'en': 'Business Bay'}, {'ar': 'قرية جميرا الدائرية', 'en': 'Jumeirah Village Circle (JVC)'}, {'ar': 'مجمع دبي لاند ريزيدنس (DLRC)', 'en': 'Dubai Land Residence Complex (DLRC)'}, {'ar': 'بر دبي', 'en': 'Bur Dubai'}, {'ar': 'شوبا هارتلاند', 'en': 'Sobha Hartland'}, {'ar': '(DSO)واحة دبي للسيليكون', 'en': 'Dubai Silicon Oasis (DSO)'}, {'ar': 'دبي مارينا', 'en': 'Dubai Marina'}, {'ar': 'مرسى خور دبي', 'en': 'Dubai Creek Harbour'}, {'ar': 'المدينة العالمية المرحلة 2 (ورسان 4)', 'en': 'International City Phase 2 (Warsan 4)'}, {'ar': 'الفرجان', 'en': 'Al Furjan'}, {'ar': 'العالية', 'en': 'Al Alia'}, {'ar': 'مجمع دبي للاستثمار', 'en': 'Dubai Investments Park (DIP)'}, {'ar': 'الخوانیج', 'en': 'Al Khawaneej'}, {'ar': 'المدينة العالمية', 'en': 'International City'}, {'ar': 'البرشاء', 'en': 'Al Barsha'}, {'ar': 'أرجان', 'en': 'Arjan'}, {'ar': 'القصيص', 'en': 'Al Qusais'}, {'ar': 'القوز', 'en': 'Al Quoz'}, {'ar': 'ديرة', 'en': 'Deira'}, {'ar': 'محيصنة', 'en': 'Muhaisnah'}, {'ar': 'ند الشبا', 'en': 'Nad Al Sheba'}, {'ar': 'داماك هيلز', 'en': 'DAMAC Hills'}, {'ar': 'آل هيليو', 'en': 'Al Helio'}, {'ar': 'زعبيل', 'en': ""Za'abeel""}, {'ar': 'مدينة دبي للاستديوهات', 'en': 'Dubai Studio City'}, {'ar': 'أبراج بحيرة الجميرا', 'en': 'Jumeirah Lake Towers (JLT)'}, {'ar': 'الممزر', 'en': 'Al Mamzar'}, {'ar': 'المنطقة الصناعية', 'en': 'Industrial Area'}, {'ar': 'مدينة دبي الرياضية', 'en': 'Dubai Sports City'}, {'ar': 'شارع الشيخ زايد', 'en': 'Sheikh Zayed Road'}]",11,ff5bc5a8-954e-4d08-93d3-f322f8974372,leading-properties-5180,True,ff5bc5a8954e4d0893d3f322f8974372
False,"{'en': 'Reach Home Properties', 'ar': 'ريتش هوم العقارية'}",300456,https://dbz-images.dubizzle.com/profiles/property_agency/2026/04/01/403df7b3f5fa403faa0dfc1a719a20bc-.jpg?impolicy=agency,"[{'ar': 'الخالدية', 'en': 'Al Khalidiyah'}, {'ar': 'جزيرة الريم', 'en': 'Al Reem Island'}, {'ar': 'البطين', 'en': 'Al Bateen'}, {'ar': 'Al Samha', 'en': 'Al Samha'}, {'ar': 'شارع الكورنيش', 'en': 'Corniche Road'}, {'ar': 'الشمخة', 'en': 'Al Shamkha'}, {'ar': 'عد جزيرة الماريه', 'en': 'Al Maryah Island'}, {'ar': 'الغدیر', 'en': 'Al Ghadeer'}, {'ar': 'منطقة النادي السياحي', 'en': 'Tourist Club Area (TCA)'}, {'ar': 'المطار', 'en': 'Al Matar'}, {'ar': 'آل نهيان', 'en': 'Al Nahyan'}, {'ar': 'الريف', 'en': 'Al Reef'}, {'ar': 'الخبيرة', 'en': 'Al Khubeirah'}, {'ar': 'مدينة مصدر', 'en': 'Masdar City'}, {'ar': 'الحصن', 'en': 'Al Hisn'}, {'ar': 'المشرف', 'en': 'Al Mushrif'}, {'ar': 'Al Hudayriat Island', 'en': 'Al Hudayriat Island'}, {'ar': 'جزيرة السعديات', 'en': 'Saadiyat Island'}, {'ar': 'المركزية', 'en': 'Al Markaziya'}, {'ar': 'شاطئ الراحة', 'en': 'Al Raha Beach'}, {'ar': 'منطقة الكورنيش', 'en': 'Corniche Area'}, {'ar': 'مدينة خليفة', 'en': 'Khalifa City'}, {'ar': 'الدانة', 'en': 'Al Danah'}, {'ar': 'السعادة', 'en': ""Al Sa'adah""}, {'ar': 'جزيرة ياس', 'en': 'Yas Island'}, {'ar': 'مدينة خليفة', 'en': 'Zayed City'}, {'ar': 'حدائق الراحة', 'en': 'Al Raha Gardens'}]",3,ff536f42-b923-468d-bd8a-776d0ddcef7b,reach-home-properties-300456,True,ff536f42b923468dbd8a776d0ddcef7b
True,"{'en': 'K U N Real Estate', 'ar': 'كيه يو ان للعقارات'}",7516,https://dbz-images.dubizzle.com/profiles/property_agency/2025/08/06/bb54ad8593874dbcaf4d4e94ad3fa064-.jpg?impolicy=agency,"[{'ar': 'سيتي أوف أرابيا', 'en': 'City of Arabia'}, {'ar': 'ميدان هورايزون', 'en': 'Meydan Horizon'}, {'ar': 'دبي هاربور\u202c', 'en': 'Dubai Harbour'}, {'ar': 'دبي هيلز استيت', 'en': 'Dubai Hills Estate'}, {'ar': 'داماك لاجونز', 'en': 'DAMAC Lagoons'}, {'ar': 'وسط مدينة دبي', 'en': 'Downtown Dubai'}, {'ar': 'دبي الجنوب', 'en': 'Dubai South'}, {'ar': 'الخليج التجاري', 'en': 'Business Bay'}, {'ar': 'قرية جميرا الدائرية', 'en': 'Jumeirah Village Circle (JVC)'}, {'ar': 'مجمع دبي لاند ريزيدنس (DLRC)', 'en': 'Dubai Land Residence Complex (DLRC)'}, {'ar': 'شوبا هارتلاند', 'en': 'Sobha Hartland'}, {'ar': '(DSO)واحة دبي للسيليكون', 'en': 'Dubai Silicon Oasis (DSO)'}, {'ar': 'المدينة العالمية المرحلة 2 (ورسان 4)', 'en': 'International City Phase 2 (Warsan 4)'}, {'ar': 'الفرجان', 'en': 'Al Furjan'}, {'ar': 'جزر دبي', 'en': 'Dubai Islands'}, {'ar': 'مجمع دبي للاستثمار', 'en': 'Dubai Investments Park (DIP)'}, {'ar': 'مجان', 'en': 'Majan'}, {'ar': 'جميرا بيتش ريزيدنس', 'en': 'Jumeirah Beach Residence (JBR)'}, {'ar': 'جزر داماك', 'en': 'DAMAC Islands'}, {'ar': 'مدينة دبي الملاحية', 'en': 'Dubai Maritime City'}, {'ar': 'غاف وودز', 'en': 'Ghaf Woods'}, {'ar': 'أثلون من الدار', 'en': 'Athlon by Aldar'}, {'ar': 'داماك هيلز', 'en': 'DAMAC Hills'}, {'ar': 'زعبيل', 'en': ""Za'abeel""}, {'ar': '(أكويا من داماك) داماك هيلز 2', 'en': 'DAMAC Hills 2 (Akoya by DAMAC)'}, {'ar': 'ذا فالي من اعمار', 'en': 'The Valley by Emaar'}, {'ar': 'جبل علي', 'en': 'Jebel Ali'}]",7,ff132e82-6b2e-488c-bd48-5da3929a2851,k-u-n-real-estate-7516,True,ff132e826b2e488cbd485da3929a2851
True,"{'en': 'Impala Real Estate L.L.C', 'ar': 'Impala Real Estate L.L.C'}",3266,https://dbz-images.dubizzle.com/profiles/property_agency/2026/04/22/38323aeefe57432b8a51e8abbe95480d-.jpg?impolicy=agency,"[{'ar': 'جزيرة الريم', 'en': 'Al Reem Island'}, {'ar': 'المرجان ايلاند', 'en': 'Al Marjan Island'}, {'ar': 'جزيرة السعديات', 'en': 'Saadiyat Island'}, {'ar': 'عد جزيرة الماريه', 'en': 'Al Maryah Island'}, {'ar': 'Al Hudayriat Island', 'en': 'Al Hudayriat Island'}, {'ar': 'جزيرة ياس', 'en': 'Yas Island'}, {'ar': 'جزيرة فاهد', 'en': 'Fahid Island'}, {'ar': 'مدينة خليفة', 'en': 'Khalifa City'}, {'ar': 'مدينة مصدر', 'en': 'Masdar City'}, {'ar': 'المشرف', 'en': 'Al Mushrif'}, {'ar': 'مدينة خليفة', 'en': 'Zayed City'}, {'ar': 'شارع النجدة', 'en': 'Al Najda Street'}]",7,fe717b2a-25ff-4308-bdf5-e330231f1333,impala-real-estate-llc-3266,False,fe717b2a25ff4308bdf5e330231f1333
False,"{'en': 'Golden Falcon Real Estate', 'ar': 'قولدن فالكون العقاريه'}",101770,https://dbz-images.dubizzle.com/profiles/property_agency/2025/10/28/218616e705c349dcbe979663d62ea357-.jpg?impolicy=agency,"[{'ar': 'آل هيليو', 'en': 'Al Helio'}, {'ar': 'مدينة الإمارات', 'en': 'Emirates City'}, {'ar': 'عجمان أبتاون', 'en': 'Ajman Uptown'}]",3,fe213518-1753-43f4-9e08-9d08cf69de6f,golden-falcon-real-estate-101770,True,fe213518175343f49e089d08cf69de6f
False,"{'en': 'ENGEL & VÖLKERS Dubai - S01', 'ar': 'انجل اند فولكرز دبي - فرع 1'}",7326,https://dbz-images.dubizzle.com/profiles/property_agency/2026/05/01/ecb0ac0d1a354c9ea0fcbcc65f870ee5-.jpg?impolicy=agency,"[{'ar': 'عقارات جميرا للجولف', 'en': 'Jumeirah Golf Estates'}, {'ar': 'نخلة جميرا', 'en': 'Palm Jumeirah'}, {'ar': 'تلال الغاف', 'en': 'Tilal Al Ghaf'}, {'ar': 'زعبيل', 'en': ""Za'abeel""}, {'ar': 'جميرا', 'en': 'Jumeirah'}, {'ar': 'أبراج بحيرة الجميرا', 'en': 'Jumeirah Lake Towers (JLT)'}, {'ar': 'أرجان', 'en': 'Arjan'}]",4,fe173cb1-69bb-4597-ae52-e0adf7fffca9,engel-volkers-dubai-s1-7326,True,fe173cb169bb4597ae52e0adf7fffca9
